Date	Location	Service Category	Service Name	geni.us Link	Booked?	Supplier / Notes
Wed 17 Mar	Auckland	✈️ Flight	Arrive Auckland International Airport on Air New Zealand NZ00029 · 05:45am – private transfer to inner-city hotel	No		Self-arranged
Wed 17 Mar	Auckland	🚖 Airport Transfer	Airport → Auckland	https://geni.us/AirportTransfers		
Wed 17 Mar	Auckland	✨ Special Activity	Fullers Waiheke Island Ferry	https://geni.us/FullersAuckland		
Wed 17 Mar	Auckland	✨ Special Activity	Aucky Walky – Guided City Walking Tour	https://geni.us/AuckyWalky		
Wed 17 Mar	Auckland	✨ Special Activity	Auckland Hop-on Hop-off Bus	https://geni.us/AucklandHopOnCoach		
Wed 17 Mar	Auckland	✨ Special Activity	Auckland War Memorial Museum	https://geni.us/AucklandMuseum		
Wed 17 Mar	Auckland	✨ Special Activity	Auckland Art Gallery Toi o Tāmaki	https://geni.us/AKLArtGallery		
Wed 17 Mar	Auckland	✨ Special Activity	ExploreNZ Harbour Sailing	https://geni.us/ExploreNZSail		
Wed 17 Mar	Auckland	✨ Special Activity	Auckland Whale & Dolphin Safari	https://geni.us/AucklandWhaleDolphin		
Wed 17 Mar	Auckland	🏡 Accommodation (3★)	Adina Citylife Auckland	https://geni.us/AdinaAuckland		
Wed 17 Mar	Auckland	🏡 Accommodation (4★)	Novotel Auckland Airport	https://geni.us/NovotelAKLAirport		
Wed 17 Mar	Auckland	🏡 Accommodation (5★)	Park Hyatt Auckland	https://geni.us/ParkHyattAuckland		
Wed 17 Mar	Auckland	🏡 Accommodation (4★)	QT Auckland Hotel	https://geni.us/QTAucklandHotel		
Thu 18 Mar	Auckland – Waiheke Island	✨ Special Activity	Fullers Waiheke Island Ferry	https://geni.us/FullersAuckland		
Thu 18 Mar	Auckland – Waiheke Island	✨ Special Activity	Ananda Tours – Waiheke Wine & Art	https://geni.us/AnandaWaiheke		
Thu 18 Mar	Auckland – Waiheke Island	✨ Special Activity	Bush & Beach West Coast Tour	https://geni.us/BushBeachAKL		
Thu 18 Mar	Auckland – Waiheke Island	✨ Special Activity	ExploreNZ Harbour Sailing	https://geni.us/ExploreNZSail		
Fri 19 Mar	Auckland → Hahei / Coromandel	🚗 Rental Car	Self-drive Auckland → Hahei via the Kawakawa Bay coastal road	https://geni.us/RentalCarOptions		
Fri 19 Mar	Auckland → Hahei / Coromandel	✨ Special Activity	Cathedral Cove & Coast Scenic Cruise	https://geni.us/CathedralCoast		
Fri 19 Mar	Auckland → Hahei / Coromandel	✨ Special Activity	Cathedral Cove Kayaking	https://geni.us/CathedralCoveKayak		
Fri 19 Mar	Auckland → Hahei / Coromandel	✨ Special Activity	Cathedral Cove Snorkel Tour	https://geni.us/CathedralSnorkel		
Fri 19 Mar	Auckland → Hahei / Coromandel	✨ Special Activity	Cathedral Cove Sailing	https://geni.us/SailCathedral		
Fri 19 Mar	Auckland → Hahei / Coromandel	✨ Special Activity	Coromandel Zipline Tour	https://geni.us/CoromandelZipline		
Fri 19 Mar	Auckland → Hahei / Coromandel	🏡 Accommodation (3★)	The Church Accommodation, Hahei	https://geni.us/TheChurchHahei		
Fri 19 Mar	Auckland → Hahei / Coromandel	🏡 Accommodation (4★)	970 Lonely Bay Lodge	https://geni.us/970LonelyBay		
Fri 19 Mar	Auckland → Hahei / Coromandel	🏡 Accommodation (5★)	Mercury Ridge Lodge	https://geni.us/MercuryRidgeLodge		
Sat 20 Mar	Hahei / Coromandel	✨ Special Activity	Cathedral Cove Kayaking – Sea Cave Tour	https://geni.us/CathedralCoveKayak		
Sat 20 Mar	Hahei / Coromandel	✨ Special Activity	Cathedral Cove Snorkel Tour	https://geni.us/CathedralSnorkel		
Sat 20 Mar	Hahei / Coromandel	✨ Special Activity	Cathedral Cove & Coast Cruise	https://geni.us/CathedralCoast		
Sat 20 Mar	Hahei / Coromandel	✨ Special Activity	Coromandel Zipline Tour	https://geni.us/CoromandelZipline		
Sun 21 Mar	Coromandel → Taupō (via Rotorua)	🚗 Rental Car	Self-drive Hahei → Taupō via Rotorua's geothermal valley	https://geni.us/RentalCarOptions		
Sun 21 Mar	Coromandel → Taupō (via Rotorua)	✨ Special Activity	Te Puia – Geothermal Valley & Guided Walk	https://geni.us/TePuiaTour		
Sun 21 Mar	Coromandel → Taupō (via Rotorua)	✨ Special Activity	Wai-O-Tapu Thermal Wonderland	https://geni.us/Waiotapu		
Sun 21 Mar	Coromandel → Taupō (via Rotorua)	✨ Special Activity	Hobbiton Movie Set Tour	https://geni.us/HobbitonTour		
Sun 21 Mar	Coromandel → Taupō (via Rotorua)	✨ Special Activity	Mitai Māori Village – Concert & Hangi	https://geni.us/MitaiHangi		
Sun 21 Mar	Coromandel → Taupō (via Rotorua)	✨ Special Activity	Waimangu Volcanic Valley	https://geni.us/WaimanguValley		
